,countryiso3code,country,date,life_expectancy,gdp_per_capita,health_expenditure,unemployment_rate,log_gdp,le_group,unem_group
75,,High income,2022,79.4267769342303,2493.61487371356,40.264442766294,6.0139105551006,7.821488693190536,High,Low Unemployment
76,,High income,2022,79.4267769342303,2493.61487371356,93.7196113288266,4.50967085383543,7.821488693190536,High,Low Unemployment
77,,High income,2022,79.4267769342303,2493.61487371356,93.7196113288266,5.672232196208,7.821488693190536,High,Low Unemployment
78,,High income,2022,79.4267769342303,2493.61487371356,93.7196113288266,4.77300365505371,7.821488693190536,High,Low Unemployment
79,,High income,2022,79.4267769342303,2493.61487371356,93.7196113288266,,7.821488693190536,High,
80,,High income,2022,79.4267769342303,2493.61487371356,93.7196113288266,6.0139105551006,7.821488693190536,High,Low Unemployment
81,,High income,2022,79.4267769342303,2493.61487371356,,4.50967085383543,7.821488693190536,High,Low Unemployment
82,,High income,2022,79.4267769342303,2493.61487371356,,5.672232196208,7.821488693190536,High,Low Unemployment
83,,High income,2022,79.4267769342303,2493.61487371356,,4.77300365505371,7.821488693190536,High,Low Unemployment
84,,High income,2022,79.4267769342303,2493.61487371356,,,7.821488693190536,High,
85,,High income,2022,79.4267769342303,2493.61487371356,,6.0139105551006,7.821488693190536,High,Low Unemployment
86,,High income,2022,79.4267769342303,2493.61487371356,618.84502765484,4.50967085383543,7.821488693190536,High,Low Unemployment
87,,High income,2022,79.4267769342303,2493.61487371356,618.84502765484,5.672232196208,7.821488693190536,High,Low Unemployment
88,,High income,2022,79.4267769342303,2493.61487371356,618.84502765484,4.77300365505371,7.821488693190536,High,Low Unemployment
89,,High income,2022,79.4267769342303,2493.61487371356,618.84502765484,,7.821488693190536,High,
90,,High income,2022,79.4267769342303,2493.61487371356,618.84502765484,6.0139105551006,7.821488693190536,High,Low Unemployment
91,,High income,2022,79.4267769342303,,5837.66878621092,4.50967085383543,,High,Low Unemployment
92,,High income,2022,79.4267769342303,,5837.66878621092,5.672232196208,,High,Low Unemployment
93,,High income,2022,79.4267769342303,,5837.66878621092,4.77300365505371,,High,Low Unemployment
94,,High income,2022,79.4267769342303,,5837.66878621092,,,High,
95,,High income,2022,79.4267769342303,,5837.66878621092,6.0139105551006,,High,Low Unemployment
96,,High income,2022,79.4267769342303,,40.264442766294,4.50967085383543,,High,Low Unemployment
97,,High income,2022,79.4267769342303,,40.264442766294,5.672232196208,,High,Low Unemployment
98,,High income,2022,79.4267769342303,,40.264442766294,4.77300365505371,,High,Low Unemployment
99,,High income,2022,79.4267769342303,,40.264442766294,,,High,
100,,High income,2022,79.4267769342303,,40.264442766294,6.0139105551006,,High,Low Unemployment
101,,High income,2022,79.4267769342303,,93.7196113288266,4.50967085383543,,High,Low Unemployment
102,,High income,2022,79.4267769342303,,93.7196113288266,5.672232196208,,High,Low Unemployment
103,,High income,2022,79.4267769342303,,93.7196113288266,4.77300365505371,,High,Low Unemployment
104,,High income,2022,79.4267769342303,,93.7196113288266,,,High,
105,,High income,2022,79.4267769342303,,93.7196113288266,6.0139105551006,,High,Low Unemployment
106,,High income,2022,79.4267769342303,,,4.50967085383543,,High,Low Unemployment
107,,High income,2022,79.4267769342303,,,5.672232196208,,High,Low Unemployment
108,,High income,2022,79.4267769342303,,,4.77300365505371,,High,Low Unemployment
109,,High income,2022,79.4267769342303,,,,,High,
110,,High income,2022,79.4267769342303,,,6.0139105551006,,High,Low Unemployment
111,,High income,2022,79.4267769342303,,618.84502765484,4.50967085383543,,High,Low Unemployment
112,,High income,2022,79.4267769342303,,618.84502765484,5.672232196208,,High,Low Unemployment
113,,High income,2022,79.4267769342303,,618.84502765484,4.77300365505371,,High,Low Unemployment
114,,High income,2022,79.4267769342303,,618.84502765484,,,High,
115,,High income,2022,79.4267769342303,,618.84502765484,6.0139105551006,,High,Low Unemployment
116,,High income,2022,79.4267769342303,10324.5193124329,5837.66878621092,4.50967085383543,9.242276861048913,High,Low Unemployment
117,,High income,2022,79.4267769342303,10324.5193124329,5837.66878621092,5.672232196208,9.242276861048913,High,Low Unemployment
118,,High income,2022,79.4267769342303,10324.5193124329,5837.66878621092,4.77300365505371,9.242276861048913,High,Low Unemployment
119,,High income,2022,79.4267769342303,10324.5193124329,5837.66878621092,,9.242276861048913,High,
120,,High income,2022,79.4267769342303,10324.5193124329,5837.66878621092,6.0139105551006,9.242276861048913,High,Low Unemployment
121,,High income,2022,79.4267769342303,10324.5193124329,40.264442766294,4.50967085383543,9.242276861048913,High,Low Unemployment
122,,High income,2022,79.4267769342303,10324.5193124329,40.264442766294,5.672232196208,9.242276861048913,High,Low Unemployment
123,,High income,2022,79.4267769342303,10324.5193124329,40.264442766294,4.77300365505371,9.242276861048913,High,Low Unemployment
124,,High income,2022,79.4267769342303,10324.5193124329,40.264442766294,,9.242276861048913,High,
125,,High income,2022,79.4267769342303,10324.5193124329,40.264442766294,6.0139105551006,9.242276861048913,High,Low Unemployment
126,,High income,2022,79.4267769342303,10324.5193124329,93.7196113288266,4.50967085383543,9.242276861048913,High,Low Unemployment
127,,High income,2022,79.4267769342303,10324.5193124329,93.7196113288266,5.672232196208,9.242276861048913,High,Low Unemployment
128,,High income,2022,79.4267769342303,10324.5193124329,93.7196113288266,4.77300365505371,9.242276861048913,High,Low Unemployment
129,,High income,2022,79.4267769342303,10324.5193124329,93.7196113288266,,9.242276861048913,High,
130,,High income,2022,79.4267769342303,10324.5193124329,93.7196113288266,6.0139105551006,9.242276861048913,High,Low Unemployment
131,,High income,2022,79.4267769342303,10324.5193124329,,4.50967085383543,9.242276861048913,High,Low Unemployment
